distance,std,rssi,correlation,invalid_01,invalid_02
36,0.323485,-82,0.139298,0.267175,0.372415
36,0.315511,-86,0.153166,0.268718,0.372415
36,0.308980,-86,0.032563,0.267473,0.372415
36,0.308340,-85,0.244830,0.268090,0.372415
45,0.325701,-83,0.225366,0.268237,0.372415
45,0.267303,-84,0.244859,0.269895,0.372415
45,0.242260,-83,0.375389,0.267906,0.372415
45,0.433344,-86,0.081496,0.269312,0.402116
45,0.255777,-87,0.154090,0.266060,0.372415
45,0.362215,-84,0.207820,0.268395,0.372415
45,0.390132,-83,0.241541,0.269860,0.390132
45,0.347925,-85,0.143915,0.269316,0.390132
45,0.324114,-83,0.161919,0.271029,0.390132
45,0.259033,-82,0.153801,0.270471,0.390132
45,0.296331,-85,-0.001866,0.271825,0.390132
45,0.357984,-85,0.249210,0.274521,0.390132
45,0.295320,-84,0.222495,0.277745,0.390132
45,0.276854,-86,0.090473,0.280325,0.390132
45,0.367847,-85,0.077665,0.284554,0.390132
45,0.287796,-86,0.124677,0.284020,0.390132
45,0.376184,-87,0.156878,0.287096,0.390132
45,0.251269,-85,0.176373,0.286360,0.390132
45,0.365424,-86,0.205606,0.289852,0.390132
45,0.289204,-83,0.257413,0.290574,0.390132
45,0.324065,-84,0.243796,0.289947,0.390132
